business_id,cashflow_shortfall_amount,shortfall_flag
B82850-106226,20719.41,0
B79734-840257,-4593.57,1
B28351-276049,12579.67,0
B26045-599189,15314.41,0
B32317-613008,15911.94,0
B8408-730036,8912.87,0
B6049-110830,25156.75,0
B52090-67728,28620.5,0
B1250-371452,44715.21,0
B89580-858351,20109.85,0
B74840-749480,33108.83,0
B66717-518465,9924.42,0
B94941-282824,34829.33,0
B16996-355457,8465.32,0
B46275-412939,-2556.8,1
B7905-340561,19105.99,0
B5337-328120,-2475.64,1
B20156-120042,39895.75,0
B45643-200085,-7620.71,1
B56656-644192,46196.54,0
B13600-318163,-8445.0,1
B53322-507317,-501.55,1
B29475-309919,1886.41,0
B9762-781881,42931.98,0
B17064-221539,1511.14,0
B73766-70515,18518.06,0
B85167-561543,9949.35,0
B67315-831598,-5717.41,1
B69142-141580,21115.36,0
B13384-906630,2808.04,0
B72889-640005,41686.98,0
B84764-283710,4201.26,0
B93568-361452,33070.66,0
B44178-64716,1310.46,0
B78932-722105,-19694.98,1
B51393-952618,-7258.64,1
B96081-531646,-14875.47,1
B78881-981906,14730.23,0
B29224-962016,-6919.13,1
B95535-555734,8783.26,0
B44019-367301,31798.7,0
B94858-637473,7139.3,0
B91847-205836,-1723.45,1
B62852-306826,6590.01,0
B56673-446851,13862.79,0
B59201-702484,-5883.38,1
B26746-993665,18225.18,0
B23149-864324,26599.78,0
B98216-11199,-4560.91,1
B97479-175175,-2539.85,1
B68485-760082,30706.31,0
B40258-644510,25206.9,0
B65517-118811,26199.02,0
B23389-398769,14031.54,0
B9923-573074,-2951.12,1
B60260-286472,16323.95,0
B42075-306007,-3662.34,1
B9640-447034,13844.36,0
B52091-850449,17529.94,0
B31077-655284,-1986.07,1
B94804-300655,27764.96,0
B88323-820275,15916.7,0
B60990-611791,4523.01,0
B59375-530089,27477.2,0
B12038-736555,22360.55,0
B35295-421881,29012.36,0
B91780-895912,2460.96,0
B4100-542666,-11868.89,1
B93710-950138,-2787.52,1
B38404-447562,12837.81,0
B69549-463134,-21202.23,1
B83086-350466,18173.55,0
B89743-40037,-1232.54,1
B38594-602249,-5580.17,1
B12261-875967,-10052.77,1
B92758-10986,30347.12,0
B93108-700359,32750.2,0
B94397-129731,37188.72,0
B25451-218205,1261.84,0
B88768-218828,19934.42,0
B15405-465069,9407.54,0
B75453-158289,7530.78,0
B66053-512774,14422.69,0
B57558-198661,-16345.89,1
B89688-982646,9186.76,0
B38613-911064,35572.98,0
B11438-109083,5053.43,0
B7643-836375,47533.02,0
B33596-56943,17554.3,0
B60792-353780,10208.52,0
B89184-405798,25851.03,0
B93020-150261,2461.28,0
B44525-112641,6806.54,0
B38856-796921,31147.53,0
B35835-64937,-2344.07,1
B86099-590188,-63.99,1
B18055-812595,31580.85,0
B37941-435183,8936.64,0
B70740-726050,35600.68,0
B65610-522761,11141.68,0
B35011-893583,13029.84,0
B7457-631352,22001.36,0
B32579-718965,18028.34,0
B61576-842985,40546.87,0
B20250-594798,8307.46,0
B71280-160696,33012.24,0
B68550-183485,41881.16,0
B47059-590059,25733.31,0
B50617-396169,-5420.72,1
B66334-226275,2128.99,0
B47380-439853,8672.34,0
B16879-528515,27914.45,0
B73036-212610,-20158.77,1
B24566-716570,-25854.35,1
B37039-812310,16879.26,0
B69996-507853,8800.49,0
B82737-281460,12263.81,0
B52034-853800,57848.01,0
B64995-609204,34482.2,0
B32407-983011,-148.36,1
B54198-964714,22101.97,0
B61021-88250,2834.53,0
B5586-732091,19281.51,0
B8435-625047,14330.34,0
B87000-866915,-16030.46,1
B89212-878975,-3209.81,1
B97303-875748,-29191.66,1
B1162-659502,2948.94,0
B84176-622858,20384.1,0
B89880-819387,5850.45,0
B21645-949579,5190.33,0
B21789-550023,44640.33,0
B88561-864808,-2915.11,1
B9448-823021,-5154.4,1
B23814-467860,5715.25,0
B38202-281769,34446.09,0
B90030-476308,10682.09,0
B6901-144413,31259.54,0
B72367-756813,16095.13,0
B23725-595685,16369.38,0
B82973-924240,21838.97,0
B72692-55415,51149.81,0
B77152-967119,6170.45,0
B44361-500204,-1248.73,1
B1642-489476,12207.47,0
B46832-630830,8276.72,0
B50443-702836,12455.71,0
B39181-951813,-31468.29,1
B62956-216564,32410.02,0
B93205-268920,60389.38,0
B19165-206253,30648.64,0
B83560-949032,-1460.29,1
B88192-222075,990.23,0
B54793-714770,10599.13,0
B27062-935785,34958.91,0
B28395-988573,13230.51,0
B13907-73512,12432.04,0
B42448-968249,11481.86,0
B26532-22454,12869.78,0
B83385-178016,29747.06,0
B57954-481501,17523.3,0
B40362-334276,-2214.31,1
B37180-862346,16031.63,0
B1424-953706,13647.38,0
B36009-236732,-3562.77,1
B89439-952269,-10966.1,1
B19970-447611,19078.89,0
B34678-624669,25051.65,0
B72224-945819,7918.05,0
B26890-257686,27329.24,0
B25389-101378,2716.55,0
B55229-972667,8804.36,0
B93814-314228,41736.14,0
B94346-311856,-14090.19,1
B44582-363071,-6013.8,1
B86288-593604,10723.67,0
B4848-473152,37332.45,0
B86869-393184,27057.67,0
B3809-757556,11960.95,0
B30455-72211,28000.77,0
B55871-93618,2048.69,0
B57899-812360,18809.37,0
B13216-946016,-24227.92,1
B25570-519236,2392.67,0
B42444-497792,-4134.47,1
B43018-475527,17160.02,0
B52324-796959,-8870.61,1
B39398-217298,40804.04,0
B80319-888162,-9458.66,1
B61729-275724,6370.64,0
B66140-451874,11144.77,0
B99618-110229,32094.51,0
B28116-832443,34936.74,0
B24060-713930,-23681.11,1
B82948-571420,24977.89,0
B36495-679404,-14297.15,1
B34720-438734,-9063.16,1
B93145-346316,2718.81,0
B93496-539009,-3042.13,1
B21832-795115,9553.81,0
B30454-114009,23495.17,0
B52628-999735,16221.08,0
B38513-95374,-4807.24,1
B52738-309151,10604.59,0
B68966-495656,-12216.6,1
B24604-377437,51248.22,0
B7214-634563,25050.32,0
B11123-515044,-5230.38,1
B29803-497236,210.2,0
B9437-120275,28055.42,0
B46527-928532,32487.77,0
B61629-46994,22164.67,0
B84765-908606,45673.75,0
B32021-923397,-8225.52,1
B27455-987619,13514.06,0
B4935-24153,5421.83,0
B20259-863292,21398.59,0
B38188-841522,9726.58,0
B78852-503905,1530.43,0
B55384-319326,6110.75,0
B35647-25406,-24287.67,1
B45545-72294,29718.19,0
B5813-298901,4757.65,0
B56278-733144,14404.27,0
B49507-221820,35334.05,0
B70440-578280,6351.04,0
B51090-180613,24154.34,0
B75772-569376,29337.13,0
B65645-931817,46916.76,0
B84891-940953,7600.77,0
B56670-679822,26004.48,0
B95184-770047,-16392.44,1
B37992-719351,3605.63,0
B61913-614862,20898.22,0
B27812-780152,21918.99,0
B8515-172860,12695.65,0
B23933-663256,12677.38,0
B20409-154891,20832.19,0
B7070-448869,24697.28,0
B72574-577440,17684.44,0
B86804-82122,35921.65,0
B46640-802838,11705.53,0
B20484-94243,34787.0,0
B75980-277381,25959.36,0
B484-559819,13134.81,0
B504-191089,-16964.55,1
B41043-761305,25010.53,0
B48026-997964,5953.84,0
B29289-508889,-9666.76,1
B12863-275964,9206.3,0
B18484-775680,17705.25,0
B60200-799100,25488.66,0
B98242-128671,39336.8,0
B9960-605686,17919.13,0
B80742-170784,16812.85,0
B50712-559652,26647.95,0
B23624-283876,-19735.6,1
B11016-150672,22362.68,0
B53430-370694,26527.03,0
B13556-455598,29801.51,0
B56497-819690,27829.87,0
B38865-356065,13912.19,0
B57191-551599,-2380.51,1
B22049-543738,38606.41,0
B70180-476438,14629.31,0
B37844-601816,7966.27,0
B45643-347004,29639.74,0
B92293-172926,129.09,0
B7339-203696,18671.95,0
B14589-446492,2058.61,0
B61977-371699,5963.24,0
B43225-998583,16961.24,0
B94174-328285,21144.38,0
B32149-470360,24785.35,0
B43044-581332,17233.25,0
B37726-573842,38525.03,0
B42908-209147,13878.44,0
B88564-748647,2526.67,0
B53971-625384,4927.75,0
B19298-72073,-15610.58,1
B19858-44064,37757.36,0
B15354-939930,34714.25,0
B44338-997239,55889.16,0
B1352-927337,2192.39,0
B39864-40714,29037.89,0
B77809-946191,4019.08,0
B92334-94849,3015.15,0
B59594-121087,20120.44,0
B81417-89741,7630.15,0
B65315-488621,-8145.05,1
B78687-276930,-1194.28,1
B7049-562650,8153.56,0
B55493-724733,-231.27,1
B73653-664448,14589.69,0
B7041-778322,11391.71,0
B23486-803893,-3678.88,1
B61986-739884,5973.82,0
B83351-466351,24496.06,0
B94556-39234,16237.41,0
B53513-517791,-6512.05,1
B56900-58917,23641.21,0
B42418-774241,11062.44,0
B70273-831578,18634.9,0
B70490-811314,12550.06,0
B39911-195769,24026.83,0
B55579-604382,60946.48,0
B85492-318721,36914.97,0
B87469-454211,1679.5,0
B92805-774488,16896.44,0
B73577-456021,2177.85,0
B12115-297866,23080.3,0
B45102-834514,38748.46,0
B6354-914111,14310.38,0
B17244-68372,52034.15,0
B24314-571381,6068.25,0
B80819-698593,-10799.48,1
B6190-475373,9249.27,0
B22515-200376,14912.57,0
B24171-303551,11294.73,0
B58343-997719,39563.38,0
B75797-821344,5949.49,0
B28832-131096,23382.41,0
B24054-259563,43843.73,0
B57208-136378,16412.1,0
B36768-397739,16371.56,0
B23161-338331,-12962.74,1
B79352-308004,-30051.3,1
B39849-41736,27277.03,0
B17007-999436,32361.89,0
B18877-710602,27883.89,0
B91965-672745,319.86,0
B23724-715963,15280.22,0
B23421-272377,28593.53,0
B10588-152894,28609.22,0
B22674-408713,25704.34,0
B5340-470812,7689.17,0
B43321-523389,14708.1,0
B10578-237089,-12716.88,1
B55745-142344,28640.81,0
B19362-314252,3847.84,0
B4532-645112,15383.5,0
B95357-32051,-3054.73,1
B64391-669802,-8411.57,1
B79814-755654,-3471.01,1
B87831-898771,-2819.73,1
B82658-95193,-9988.3,1
B155-571121,39487.39,0
B8817-876024,20763.27,0
B28799-951362,26071.1,0
B73786-405420,22130.91,0
B67761-163976,6692.93,0
B44347-829827,17481.77,0
B16848-556288,19330.65,0
B4721-652340,23928.19,0
B15134-741699,-10138.38,1
B5226-597848,-9307.99,1
B18130-289068,41035.55,0
B82938-684588,-2610.57,1
B55758-963896,12682.57,0
B38738-338246,16072.81,0
B67167-954381,-1383.97,1
B88969-728163,2558.64,0
B34774-645883,1159.5,0
B35954-117852,-18777.24,1
B46371-495663,15912.48,0
B38618-30005,45070.06,0
B10367-136552,9696.22,0
B50548-784794,46964.29,0
B95562-330466,25813.41,0
B6329-958118,52938.93,0
B56893-498686,29410.63,0
B48015-694541,18655.89,0
B4732-600480,33387.17,0
B3696-552842,17153.2,0
B6268-593620,21420.95,0
B73894-814701,19636.41,0
B26834-179892,22710.79,0
B6471-810293,35248.32,0
B80005-441542,-14300.59,1
B13010-424939,19473.73,0
B73579-416884,4094.32,0
B77835-547115,15212.71,0
B23375-741529,3754.99,0
B72374-600418,1999.59,0
B81549-493009,23369.29,0
B60104-965523,-17322.62,1
B84759-378430,5605.71,0
B54653-287777,21948.73,0
B48547-94029,10656.69,0
B34629-733516,6853.44,0
B75803-875739,11755.51,0
B76190-484870,16081.99,0
B17360-849764,17613.49,0
B3912-781788,-2908.2,1
B58756-297039,-7029.4,1
B27385-167149,49819.5,0
B92536-898049,-8447.7,1
B72403-686710,-9467.21,1
B27239-470074,14519.24,0
B14018-38455,9845.05,0
B85755-958110,4845.48,0
B27546-64099,11413.23,0
B13146-974142,29195.45,0
B24918-762944,18241.57,0
B4424-911041,321.21,0
B76423-397423,21311.37,0
B9211-991406,3634.16,0
B38210-670633,6382.42,0
B41527-272795,-13202.82,1
B79679-908677,31745.96,0
B28846-352825,-79.82,1
B87986-69739,27941.48,0
B217-830566,39717.4,0
B84571-245945,22754.78,0
B13334-945982,-932.96,1
B53541-672531,9036.07,0
B946-438867,5296.37,0
B11054-943375,18253.53,0
B79339-728503,12554.3,0
B46614-665537,-20220.09,1
B88336-237464,30351.67,0
B97679-806505,-8579.95,1
B6569-539312,-1383.41,1
B42201-39435,17582.02,0
B92022-618258,-6069.58,1
B49476-657885,-5822.64,1
B45687-828689,-402.89,1
B67684-819016,11552.09,0
B1928-501350,15301.56,0
B2017-961946,9145.03,0
B32354-308593,25831.16,0
B47462-398991,48655.56,0
B20228-38308,15670.33,0
B59483-158220,-10841.59,1
B65645-15242,40049.29,0
B82280-906437,8315.08,0
B2319-360088,-18321.45,1
B39909-359581,56098.78,0
B8612-636384,32155.51,0
B1442-771788,-8055.91,1
B63176-860958,29840.41,0
B93170-629120,-23971.53,1
B26714-238725,18788.8,0
B93889-749411,-1181.46,1
B42178-675922,30052.1,0
B83624-925590,6487.83,0
B12319-894684,24741.84,0
B67544-170110,16051.09,0
B70892-141515,29675.92,0
B65541-76322,27963.97,0
B84655-768461,18201.51,0
B73798-851743,17307.22,0
B5515-228654,28934.22,0
B36259-687794,-2115.32,1
B6051-269700,17005.59,0
B87488-141193,21288.63,0
B58696-437992,20310.19,0
B30623-504475,16784.37,0
B88961-445567,32524.43,0
B15624-249455,23010.4,0
B20711-338388,25754.56,0
B14160-937820,3757.22,0
B83085-821201,-18284.97,1
B84156-976008,-3267.73,1
B59307-607274,19025.67,0
B29387-653567,-21804.4,1
B93809-514215,19333.05,0
B12054-419342,11283.66,0
B73440-829326,-13004.19,1
B72201-647685,23986.16,0
B87162-254499,-7190.22,1
B18674-499574,31849.06,0
B9284-258382,-14018.44,1
B19196-120232,9803.87,0
B67828-178569,-16557.96,1
B11346-183553,-7892.27,1
B45658-405258,14454.56,0
B36555-760948,63005.01,0
B4118-201672,26705.12,0
B41257-289048,31878.38,0
B92838-177594,41190.75,0
B96746-855718,15651.29,0
B83222-300389,9043.74,0
B24619-780192,-17104.95,1
B96909-169628,-7200.9,1
B87587-387160,20870.11,0
B56919-541347,15771.72,0
B81010-334054,-7863.66,1
B59479-86689,28026.62,0
B1022-551136,-22958.0,1
B98823-767135,25073.25,0
B51456-87836,-5926.13,1
B10889-540644,2094.9,0
B66756-958323,23081.93,0
B44128-630387,16061.11,0
B64584-219279,26816.73,0
B32254-588343,4856.35,0
B2436-647135,45271.21,0
B67879-881917,17954.02,0
B19129-478419,30032.18,0
B59301-38612,1941.62,0
B43972-430153,32005.57,0
B46297-65826,34043.97,0
B55280-314028,7494.72,0
B23810-52529,-26674.34,1
B72007-908829,-6748.89,1
B71995-553608,-8653.59,1
B64535-310927,28018.84,0
B20203-778568,8839.85,0
B64872-32639,24455.79,0
B14482-657689,14950.7,0
B84391-551918,29013.85,0
B20709-457656,5996.7,0
B39766-162020,28299.94,0
B75783-825312,22424.67,0
B99197-592182,5872.13,0
B71415-905067,31936.41,0
B14253-72560,12106.16,0
B76425-980100,25141.11,0
B13099-200476,35401.97,0
B55418-478158,14912.34,0
B914-840949,38137.74,0
B76177-45066,36367.66,0
B90574-788629,-11307.15,1
B2543-557163,-17.92,1
B76093-801975,-3177.79,1
B17468-815575,2497.53,0
B15428-46404,28085.06,0
B57042-114969,-452.34,1
B91851-895014,-1090.83,1
B99231-583919,24727.29,0
B27406-767273,4617.42,0
B85551-843472,22225.56,0
B40015-710334,18210.73,0
B37319-126597,-1106.34,1
B80979-657154,-32347.83,1
B64744-184753,5427.91,0
B52429-685807,16736.41,0
B27732-337091,13060.82,0
B55276-71849,24738.71,0
B69004-650757,21347.07,0
B3897-993809,10886.12,0
B13818-97084,2353.96,0
B34660-456513,37592.29,0
B76689-554003,25160.2,0
B1745-103923,26688.26,0
B19356-931168,-7040.99,1
B53273-277578,-2235.23,1
B37530-831365,23053.51,0
B63474-123426,1046.98,0
B68344-392485,-1321.29,1
B11794-502010,4040.85,0
B75160-935848,46729.03,0
B97516-684899,14915.61,0
B13324-387539,-9022.08,1
B25250-949396,13725.35,0
B63831-956067,39734.03,0
B73609-685274,21089.5,0
B8170-90079,8783.37,0
B8766-118262,12495.98,0
B57861-292326,12759.93,0
B36468-202990,39102.77,0
B6883-395178,2245.48,0
B42014-471477,11991.75,0
B79126-433742,18397.09,0
B67626-51645,21053.93,0
B70935-758663,8411.61,0
B45865-36438,21455.2,0
B20056-392620,975.53,0
B46340-968716,-12580.24,1
B37248-929898,3561.83,0
B94370-131201,36160.86,0
B4857-230855,-3579.87,1
B19197-53617,-11919.29,1
B10495-365534,9153.82,0
B27796-333747,33661.86,0
B70580-484608,15462.24,0
B19916-112754,40648.19,0
B25017-399827,15005.14,0
B96831-311134,39609.41,0
B21666-526258,3069.42,0
B75552-165263,26292.62,0
B62923-625667,10094.3,0
B20906-397803,1580.11,0
B75620-890672,21886.46,0
B1859-767153,3532.02,0
B92474-622741,7193.48,0
B33819-738753,32044.56,0
B58166-54508,25012.54,0
B2817-402726,34092.68,0
B59776-718242,12986.79,0
B28052-266704,-2569.96,1
B86544-933437,-4865.63,1
B42560-362097,25511.09,0
B72947-847370,26409.94,0
B93707-626471,15268.29,0
B89206-617093,-5603.21,1
B18549-369288,22960.05,0
B38358-661065,-10071.07,1
B6745-161424,24923.38,0
B26837-254054,-4376.33,1
B65255-334820,39206.6,0
B52587-418101,16712.6,0
B40906-754955,12122.69,0
B48870-920130,5812.16,0
B78723-238946,9709.27,0
B75729-494540,24620.82,0
B52703-240618,27672.01,0
B82074-856711,18651.69,0
B85482-526735,-6049.63,1
B81344-388818,3631.54,0
B76634-620048,-3649.17,1
B30778-78765,7795.56,0
B76318-206752,14051.94,0
B63330-915356,18162.0,0
B74155-138251,-19477.45,1
B56473-628549,34261.87,0
B31580-615430,2914.84,0
B85330-820009,14321.81,0
B68936-461757,16515.27,0
B72358-79766,38121.08,0
B40086-135967,-13338.05,1
B79211-524295,44659.83,0
B65029-347793,2403.51,0
B73606-950300,-2662.73,1
B35011-722861,32271.83,0
B87227-176524,4574.72,0
B31921-281162,11297.94,0
B75139-983218,-12482.78,1
B60635-212347,-4828.18,1
B84558-183517,35276.01,0
B12275-21440,27436.87,0
B54871-175389,37704.56,0
B87025-51406,-6372.76,1
B66458-507843,-2381.91,1
B17427-721770,1355.0,0
B47157-540054,15494.9,0
B6250-463380,19618.69,0
B4525-984389,12615.38,0
B60600-343557,16697.88,0
B53494-585652,7624.41,0
B20179-399294,33894.59,0
B13959-138339,4029.62,0
B50560-101242,35158.37,0
B8805-417107,32981.71,0
B23336-75829,54231.23,0
B88055-710293,17965.54,0
B85614-139746,18783.73,0
B99813-101791,-9356.78,1
B95014-154447,-3435.97,1
B77018-750056,-5811.43,1
B14696-935530,10119.19,0
B33672-924265,18522.47,0
B78857-84630,10088.24,0
B63297-232676,13295.34,0
B17871-95214,29513.83,0
B45748-247497,13369.43,0
B48385-375893,22464.21,0
B19163-852856,-13421.31,1
B67742-851501,-1593.83,1
B90193-840463,20973.46,0
B86243-457600,14204.65,0
B37699-210041,-8888.75,1
B52020-77282,5674.25,0
