loan_id,days_to_early_default,default_flag
L23809-398581,1095,0
L14858-861062,560,1
L68616-771921,699,1
L22970-501856,659,1
L39948-83974,1095,0
L7112-344728,1095,0
L98840-686522,1095,0
L16080-685263,1095,0
L13213-655841,1095,0
L72968-765422,1095,0
L12725-711145,1095,0
L49916-938949,1095,0
L48675-408874,1095,0
L8563-614615,1095,0
L61491-437343,1095,0
L35828-593330,512,1
L31847-370270,1095,0
L24345-98479,1095,0
L53610-288419,1095,0
L61640-248096,1095,0
L57137-146642,588,1
L63424-119329,1095,0
L63737-936441,1095,0
L85829-491364,1095,0
L71067-59732,1095,0
L14416-130702,697,1
L20614-420655,1095,0
L9212-52072,1095,0
L72021-669585,1095,0
L35492-626364,1095,0
L28805-316511,1095,0
L46391-448361,1095,0
L99489-151884,711,1
L59366-385283,1095,0
L93738-77027,1095,0
L94157-107497,666,1
L24754-725957,483,1
L5975-734942,1095,0
L7283-39068,1095,0
L98442-528747,1095,0
L79441-545002,676,1
L65326-589527,1095,0
L84803-597311,1095,0
L84156-45921,692,1
L32824-630791,1095,0
L83031-227486,1095,0
L22172-124725,1095,0
L23954-333160,1095,0
L12188-48026,1095,0
L51648-548216,1095,0
L18061-647674,622,1
L82443-191800,574,1
L80119-848542,1095,0
L32032-842985,1095,0
L51814-731697,1095,0
L62473-764848,1095,0
L59809-510502,379,1
L11892-363053,1095,0
L21192-433532,1095,0
L3345-415763,158,1
L26584-82915,1095,0
L88600-799267,1095,0
L71423-481619,1095,0
L79478-336139,1095,0
L90506-774558,691,1
L4975-132510,1095,0
L20956-616937,1095,0
L80291-14087,508,1
L10106-277759,1095,0
L48106-684191,1095,0
L88844-840702,1095,0
L88975-699659,1095,0
L75845-583727,1095,0
L71013-50753,1095,0
L37781-632107,1095,0
L47447-336589,547,1
L30816-499457,1095,0
L63331-847255,717,1
L68650-939671,1095,0
L67616-362625,1095,0
L48504-821590,1095,0
L81710-303135,1095,0
L8559-435804,713,1
L68122-873279,1095,0
L79450-347842,1095,0
L47150-316485,1095,0
L34689-282909,660,1
L58534-401068,1095,0
L54575-13582,1095,0
L77205-530338,1095,0
L54158-108454,1095,0
L65140-326924,671,1
L19165-208174,1095,0
L18799-554211,691,1
L82722-200711,1095,0
L83463-720589,1095,0
L7066-588819,1095,0
L39617-579762,1095,0
L38437-614830,1095,0
L55552-811956,1095,0
L9768-607812,1095,0
L60940-164119,679,1
L66566-858893,1095,0
L28266-81909,1095,0
L63501-107639,1095,0
L13361-270732,1095,0
L28528-362684,1095,0
L47520-285800,647,1
L61189-420974,1095,0
L68370-960368,691,1
L12099-327851,1095,0
L96935-701753,1095,0
L7139-159962,1095,0
L39025-758981,1095,0
L29056-701796,708,1
L66794-177140,1095,0
L66406-837920,1095,0
L57471-998802,1095,0
L67253-962935,1095,0
L91839-16342,1095,0
L38231-134348,1095,0
L69534-175911,1095,0
L12799-672926,1095,0
L10589-314515,1095,0
L20720-955407,1095,0
L68633-819682,1095,0
L54859-58788,445,1
L32120-91048,1095,0
L50061-190130,1095,0
L43021-558563,716,1
L34340-879781,1095,0
L30570-244550,1095,0
L38340-841939,1095,0
L41600-985603,1095,0
L4365-808100,1095,0
L20576-152713,1095,0
L43874-44296,690,1
L26900-203671,1095,0
L21399-377495,1095,0
L8988-732439,1095,0
L50803-117844,1095,0
L82953-185123,1095,0
L14380-701053,1095,0
L65150-849906,1095,0
L49038-553378,1095,0
L1418-653482,661,1
L40986-498406,538,1
L37341-42991,593,1
L53971-573023,1095,0
L38588-990654,1095,0
L226-136284,1095,0
L63355-140798,1095,0
L94199-459363,1095,0
L25752-667022,1095,0
L26376-135806,1095,0
L44528-606536,1095,0
L84210-776821,1095,0
L47384-918861,1095,0
L26084-172938,620,1
L74129-59240,1095,0
L54675-412107,1095,0
L34983-122871,691,1
L68072-170199,633,1
L74690-626612,531,1
L51231-652970,1095,0
L86690-806711,1095,0
L93148-303934,1095,0
L21138-788296,1095,0
L68236-189568,1095,0
L90524-327215,707,1
L4892-630523,1095,0
L71330-56491,702,1
L90897-912551,1095,0
L32341-280687,1095,0
L21597-603332,1095,0
L55254-490206,1095,0
L36298-742752,1095,0
L88375-543477,1095,0
L6475-637421,1095,0
L70807-757553,1095,0
L72999-655649,1095,0
L74434-955949,1095,0
L12517-200989,1095,0
L8141-957234,1095,0
L66161-837937,1095,0
L52583-386731,564,1
L33034-149522,1095,0
L95876-700209,1095,0
L1283-298587,1095,0
L14329-414331,1095,0
L10351-492631,1095,0
L95193-279680,1095,0
L87676-202185,1095,0
L36749-620127,1095,0
L26251-48970,1095,0
L89984-979051,1095,0
L21612-473622,1095,0
L33811-755848,1095,0
L47597-539590,1095,0
L40777-819727,634,1
L1469-696835,560,1
L12298-427426,1095,0
L11544-573063,1095,0
L47320-952936,649,1
L37135-914751,1095,0
L23003-555039,1095,0
L70707-772515,1095,0
L42958-346965,1095,0
L22727-859283,1095,0
L19604-148929,710,1
L61315-531551,1095,0
L96358-394884,1095,0
L42440-47942,1095,0
L77469-33896,1095,0
L60184-215609,717,1
L750-398050,501,1
L21914-102955,1095,0
L27467-777354,681,1
L59859-463738,621,1
L83349-947302,1095,0
L27924-648519,1095,0
L13282-731889,1095,0
L17071-58540,1095,0
L69814-411647,1095,0
L73190-381071,665,1
L9361-486253,1095,0
L8502-16200,1095,0
L29242-335303,1095,0
L19651-204301,1095,0
L75454-703051,593,1
L65490-390389,599,1
L22669-773022,1095,0
L20150-413290,1095,0
L62887-147636,1095,0
L12066-551226,1095,0
L98889-161472,1095,0
L76359-540920,1095,0
L72487-438152,1095,0
L85373-429773,1095,0
L34461-584548,1095,0
L78721-634404,1095,0
L8131-806258,1095,0
L26333-387425,388,1
L40686-390239,657,1
L40920-541923,1095,0
L82193-979689,1095,0
L51422-522711,1095,0
L75213-392367,1095,0
L6962-467075,689,1
L92023-118083,658,1
L50731-115537,1095,0
L21758-172121,1095,0
L33975-828499,1095,0
L58059-106817,690,1
L27892-178193,1095,0
L12016-169057,705,1
L6911-463075,1095,0
L66789-476923,1095,0
L2267-949018,1095,0
L96010-161180,1095,0
L75155-511515,1095,0
L7529-87103,701,1
L83735-333657,1095,0
L25310-12246,639,1
L40490-844744,412,1
L77552-685292,1095,0
L61181-407872,1095,0
L88176-805712,682,1
L32238-814334,1095,0
L21953-337037,1095,0
L68100-122461,1095,0
L5779-871247,1095,0
L83224-199750,1095,0
L5963-106770,1095,0
L18804-823398,1095,0
L7499-585965,1095,0
L17262-999195,1095,0
L84098-268606,1095,0
L92384-199129,1095,0
L53508-419552,1095,0
L88809-136946,1095,0
L1876-578901,715,1
L69772-668599,1095,0
L14185-837754,682,1
L14903-606148,1095,0
L70018-982828,1095,0
L84137-82763,1095,0
L89908-446787,1095,0
L55469-168069,1095,0
L25581-955962,1095,0
L65264-626115,1095,0
L20272-627638,1095,0
L51994-892234,1095,0
L8493-303082,1095,0
L41998-66048,1095,0
L97189-424143,1095,0
L76146-684799,1095,0
L22255-870612,1095,0
L32623-834755,1095,0
L91219-347066,1095,0
L67283-174077,1095,0
L70397-196586,1095,0
L36351-338390,707,1
L98071-818062,1095,0
L26305-790174,711,1
L61786-511645,701,1
L67946-299165,1095,0
L47041-217723,1095,0
L50921-71165,461,1
L54699-221619,1095,0
L86865-498481,1095,0
L87215-859283,1095,0
L81472-228653,1095,0
L73626-665644,1095,0
L2933-903622,1095,0
L29514-321754,1095,0
L76604-304664,1095,0
L57115-276138,693,1
L45828-131598,1095,0
L72488-663558,1095,0
L43659-514660,1095,0
L31751-740516,1095,0
L21112-829039,1095,0
L51513-727805,1095,0
L62628-79049,1095,0
L44865-724486,1095,0
L59609-203599,1095,0
L58599-815167,1095,0
L61405-478268,1095,0
L94159-520920,1095,0
L45058-862113,1095,0
L91094-102967,1095,0
L47944-148447,1095,0
L22596-267704,1095,0
L76351-421303,1095,0
L83151-773552,1095,0
L87816-151841,680,1
L727-760129,1095,0
L60487-173642,1095,0
L15142-532977,1095,0
L23189-726819,688,1
L12832-734737,1095,0
L94579-525338,1095,0
L90780-984377,1095,0
L34777-52520,1095,0
L84015-759759,1095,0
L42954-562682,1095,0
L31364-805408,1095,0
L58426-875611,1095,0
L40263-269199,1095,0
L8626-967410,1095,0
L87959-770033,1095,0
L97124-651965,1095,0
L87257-734161,1095,0
L6827-315400,1095,0
L43142-997828,1095,0
L34713-615183,1095,0
L31031-17986,1095,0
L68766-546782,710,1
L32478-367003,668,1
L10258-460887,1095,0
L89938-415921,1095,0
L26728-974503,1095,0
L22059-177964,1095,0
L35035-458948,1095,0
L57662-945861,1095,0
L6749-47336,1095,0
L16974-15990,644,1
L63972-438813,1095,0
L62564-478307,1095,0
L76785-939930,1095,0
L88361-484061,1095,0
L33421-252241,511,1
L50935-554628,1095,0
L40386-538889,542,1
L78859-135909,1095,0
L64414-735485,651,1
L51076-562153,1095,0
L79398-626978,1095,0
L59401-738536,1095,0
L3808-267932,494,1
L70107-65499,1095,0
L98255-916956,1095,0
L2922-847665,1095,0
L67204-374464,1095,0
L53569-309812,1095,0
L32165-379678,1095,0
L66346-455625,663,1
L32400-194636,1095,0
L35986-417457,1095,0
L76066-17936,641,1
L50435-685350,683,1
L93594-240777,1095,0
L51494-31271,332,1
L42491-637423,1095,0
L40845-571873,1095,0
L62550-127268,1095,0
L84213-287978,1095,0
L32136-50329,1095,0
L72505-97212,1095,0
L33581-771945,1095,0
L69671-435648,1095,0
L64777-607739,1095,0
L70462-75845,1095,0
L80363-204278,1095,0
L5967-91700,1095,0
L86661-170560,592,1
L42553-118790,1095,0
L22608-84130,1095,0
L39495-965494,1095,0
L86604-900096,1095,0
L98809-217875,670,1
L58001-44174,1095,0
L64317-524494,1095,0
L26591-599449,1095,0
L38036-839473,1095,0
L50772-895260,1095,0
L52953-488985,1095,0
L14671-172414,1095,0
L6586-933139,672,1
L24142-960966,1095,0
L89058-619802,1095,0
L8124-663794,1095,0
L40249-158131,1095,0
L92844-788088,1095,0
L95356-482606,671,1
L91472-739604,1095,0
L27194-784618,1095,0
L66902-462663,1095,0
L4570-759743,1095,0
L56440-162996,1095,0
L42168-321902,1095,0
L28039-255056,1095,0
L36314-440423,646,1
L9596-707538,1095,0
L58354-633557,592,1
L58182-557569,1095,0
L9937-459025,1095,0
L53961-863856,1095,0
L87806-804668,658,1
L27675-570334,1095,0
L21398-673494,1095,0
L41687-536586,529,1
L41467-529184,1095,0
L65401-67409,1095,0
L32564-303267,1095,0
L63465-982364,1095,0
L63928-487035,1095,0
L43339-639080,1095,0
L98778-99680,1095,0
L87080-944304,1095,0
L95816-743565,1095,0
L92788-675155,1095,0
L44375-302581,1095,0
L86449-34869,1095,0
L10099-828249,1095,0
L68093-279579,1095,0
L78740-64478,581,1
L36167-772679,1095,0
L45478-725453,1095,0
L18500-181560,1095,0
L71878-635087,1095,0
L9717-903259,1095,0
L69465-196243,1095,0
L38388-126288,1095,0
L54631-818815,575,1
L34347-871350,1095,0
L83721-158740,1095,0
L16271-539716,704,1
L64501-757809,1095,0
L15247-603128,1095,0
L13024-882050,596,1
L57867-970376,401,1
L2396-620692,1095,0
L44506-530326,1095,0
L7070-233172,1095,0
L29368-201286,1095,0
L51891-102722,1095,0
L56323-622883,1095,0
L31133-150807,696,1
L9521-476060,1095,0
L66348-253780,1095,0
L98456-629050,1095,0
L23185-29368,1095,0
L43905-858270,1095,0
L16890-352869,1095,0
L10051-252166,1095,0
L76840-570292,1095,0
L58094-164363,1095,0
L40362-431574,1095,0
L16379-814309,1095,0
L20813-52889,1095,0
L5093-703647,1095,0
L42939-58771,1095,0
L66178-190588,1095,0
L15993-70696,1095,0
L74276-330687,698,1
L48019-408821,697,1
L89380-267846,1095,0
L46482-949428,1095,0
L34082-742092,1095,0
L78677-860001,1095,0
L50025-184439,1095,0
L28478-893705,1095,0
L225-173145,1095,0
L35069-398924,1095,0
L97875-721899,1095,0
L61778-167674,1095,0
L92746-328261,256,1
L67131-500164,1095,0
L66020-34884,1095,0
L50148-581050,1095,0
L72951-359642,1095,0
L95195-416841,1095,0
L90817-787506,718,1
L92059-429597,1095,0
L49979-682483,1095,0
L37119-835092,703,1
L98772-409755,1095,0
L4531-810948,686,1
L74545-976080,683,1
L35040-38742,668,1
L36619-283865,1095,0
L34281-600144,667,1
L43300-600673,1095,0
L55015-441135,506,1
L73876-303372,1095,0
L51816-695474,1095,0
L70531-522065,584,1
L53057-785614,1095,0
L75948-793544,1095,0
L2881-233262,1095,0
L46948-367126,1095,0
L37179-162313,1095,0
L20996-75729,1095,0
L216-184086,1095,0
L10889-515253,1095,0
L85960-698977,1095,0
L36885-833727,1095,0
L683-658558,1095,0
L3764-52632,1095,0
L8343-231227,1095,0
L16943-160811,1095,0
L88602-675796,1095,0
L92714-528183,1095,0
L90306-877648,1095,0
L41117-15954,1095,0
L79025-128920,1095,0
L45877-175599,1095,0
L76238-603837,1095,0
L59507-226949,1095,0
L18593-823213,1095,0
L75179-849303,1095,0
L89737-819923,557,1
L55992-965100,588,1
L13721-901162,1095,0
L36823-892756,1095,0
L20723-950076,703,1
L30935-361942,1095,0
L74944-68039,1095,0
L31667-855341,646,1
L86752-39697,1095,0
L20978-822399,608,1
L5412-837841,1095,0
L69426-514663,1095,0
L64080-139668,1095,0
L27419-275026,1095,0
L32448-591515,1095,0
L96953-399268,1095,0
L53319-536111,1095,0
L52710-165029,1095,0
L45927-582046,597,1
L98895-114909,1095,0
L99679-802089,1095,0
L88892-140767,1095,0
L69714-44417,1095,0
L82756-177148,1095,0
L91659-610429,1095,0
L86504-374789,1095,0
L43655-112019,1095,0
L90875-264237,1095,0
L99413-732419,1095,0
L78379-279975,1095,0
L935-20176,617,1
L294-233886,1095,0
L89039-240857,1095,0
L51200-389845,1095,0
L73258-174982,1095,0
L83828-398124,1095,0
L93123-283525,1095,0
L63126-946147,1095,0
L22841-970809,1095,0
L24260-969237,1095,0
L1137-317758,1095,0
L48369-408791,1095,0
L55644-558516,1095,0
L23395-166426,1095,0
L11221-581081,1095,0
L31822-624077,1095,0
L86079-347132,1095,0
L48077-55933,1095,0
L94075-927018,1095,0
L77391-739558,1095,0
L15989-506570,1095,0
L93637-629895,1095,0
L20714-237174,1095,0
L53278-577414,656,1
L20366-622633,1095,0
L82012-438412,1095,0
L16293-693759,551,1
L88117-121902,1095,0
L40270-395866,1095,0
L34796-538764,1095,0
L39409-79154,1095,0
L82390-695406,1095,0
L99442-904456,1095,0
L10596-781070,1095,0
L37383-203377,1095,0
L57299-38049,626,1
L98709-580832,697,1
L69789-114874,1095,0
L16232-287349,1095,0
L857-522658,1095,0
L59873-684672,1095,0
L54601-615290,1095,0
L10569-189933,1095,0
L49668-424178,1095,0
L2133-253529,1095,0
L98889-516603,563,1
L15182-563376,1095,0
L74051-376152,1095,0
L29798-724556,661,1
L18351-965221,1095,0
L38170-156761,1095,0
L9980-987317,1095,0
L57489-776155,692,1
L93927-579359,1095,0
L92052-621258,1095,0
L16929-544652,1095,0
L95643-103588,1095,0
L41631-26751,1095,0
L23201-991133,1095,0
L74057-176343,683,1
L37979-945903,610,1
L26982-363792,1095,0
L34079-324225,1095,0
L96419-629243,1095,0
L15817-400081,1095,0
L69768-16702,1095,0
L6202-103022,702,1
L93070-446631,1095,0
L52601-985109,1095,0
L43404-141723,1095,0
L3626-15249,682,1
L14392-32210,1095,0
L96420-833960,1095,0
L5445-588931,1095,0
L22559-846750,694,1
L49301-29436,1095,0
L34258-254101,500,1
L71432-955796,1095,0
L65319-341683,1095,0
L37914-182505,567,1
L50486-989626,1095,0
L59482-633484,1095,0
L48938-844229,1095,0
L93636-860912,1095,0
L75550-898392,1095,0
L46468-945418,1095,0
L60204-557647,1095,0
L93792-265000,1095,0
L97474-874362,1095,0
L19844-935177,1095,0
L84129-466594,1095,0
L62510-697830,595,1
L89612-463902,1095,0
L65716-670524,1095,0
L39395-601334,553,1
L53394-483178,1095,0
L35499-89994,1095,0
L13163-972652,1095,0
L61618-127002,1095,0
L60591-249643,1095,0
L33894-769887,1095,0
L40345-912459,1095,0
L30308-447332,1095,0
L27363-154027,1095,0
L50752-345791,467,1
L18824-971895,1095,0
L74754-918335,1095,0
L47488-976230,1095,0
L16020-344103,1095,0
L5434-600541,644,1
L91831-693650,552,1
L60179-413491,1095,0
L39179-825651,1095,0
L88208-276687,1095,0
L63861-206498,1095,0
L67703-268256,1095,0
L72370-557661,1095,0
L37777-401768,600,1
L73647-774448,689,1
L51157-267875,1095,0
L67988-599640,1095,0
L99050-561680,1095,0
L2725-520416,693,1
L93308-120212,719,1
L6891-41217,692,1
L3108-505056,673,1
L1892-618911,1095,0
L13226-495910,1095,0
L67155-394712,658,1
L26394-134227,1095,0
L93835-450665,1095,0
L99839-450169,1095,0
L69475-144771,1095,0
L53241-748024,1095,0
L67772-743279,690,1
L10038-757712,454,1
L76146-57246,1095,0
L32921-857478,1095,0
L32768-34815,1095,0
L7600-436487,1095,0
L33302-715596,1095,0
L46332-456504,1095,0
L616-830800,1095,0
L38111-15692,1095,0
L85399-102635,675,1
L69972-834456,1095,0
L50580-519272,1095,0
L636-863307,1095,0
L46355-35037,1095,0
L93331-705730,1095,0
L36926-250989,1095,0
L30141-348997,1095,0
L9980-68071,1095,0
L30079-83301,406,1
L77277-382369,1095,0
L85326-680417,1095,0
L97702-573628,1095,0
L38866-64347,1095,0
L69832-154674,1095,0
L62343-65427,1095,0
L12029-115834,1095,0
L46484-218755,699,1
L45588-225534,1095,0
L430-543030,1095,0
L67253-311727,585,1
L7399-944644,523,1
L60781-424644,1095,0
L52523-442365,1095,0
L25887-643894,1095,0
L91692-848223,1095,0
L80006-226810,1095,0
L23326-40160,1095,0
L83666-751442,1095,0
L72473-810803,1095,0
L77004-343190,1095,0
L21141-148351,1095,0
L61060-439677,1095,0
L55308-634947,1095,0
L13480-226704,1095,0
L40984-262159,513,1
L45404-457624,1095,0
L38462-147812,665,1
L58005-855410,1095,0
L59039-796189,1095,0
L45138-796119,1095,0
L62929-20857,1095,0
L39359-327899,1095,0
L36455-417796,600,1
L12349-523977,1095,0
L63708-400656,1095,0
L351-760190,1095,0
L10247-675115,1095,0
L99030-485380,1095,0
L85305-555630,1095,0
L20033-794627,636,1
L7021-138851,1095,0
L97657-95733,1095,0
L65747-735240,1095,0
L55127-181532,1095,0
L29094-716580,1095,0
L79443-107261,1095,0
L39836-995545,1095,0
L11184-970559,1095,0
L57172-291026,1095,0
L4110-851772,1095,0
L69776-447344,1095,0
L96570-499548,1095,0
L45827-958486,1095,0
L8937-716123,603,1
L43171-51863,1095,0
L71904-141885,1095,0
L79222-329071,597,1
L92270-410426,712,1
L72709-403492,559,1
L96514-979007,1095,0
L31612-729151,1095,0
L4778-755495,1095,0
L91469-559329,1095,0
L50550-917538,1095,0
L86287-129549,1095,0
L14754-757057,606,1
L16830-208101,1095,0
L97163-582086,1095,0
L91282-345244,1095,0
L57002-273463,600,1
L27133-798031,1095,0
L97259-935765,1095,0
L90172-365459,1095,0
L75231-191736,1095,0
L98127-566391,1095,0
L21887-701429,1095,0
L83358-339363,1095,0
L17714-404130,1095,0
L22474-469441,1095,0
L82620-173765,1095,0
L2158-730807,544,1
L57561-641864,1095,0
L3584-716354,1095,0
L43649-546052,694,1
L24081-677615,1095,0
L17532-456009,1095,0
L57846-491630,1095,0
L76525-824039,718,1
L730-198346,1095,0
L5766-649185,717,1
L2871-223274,1095,0
L62455-744935,524,1
L1118-426566,1095,0
L48436-456665,1095,0
L88714-451064,1095,0
L19991-838989,1095,0
L32728-117243,715,1
L44288-789793,1095,0
L8520-744593,1095,0
L14901-250712,1095,0
L30652-659231,1095,0
L11833-275348,1095,0
L26248-837339,1095,0
L46516-382937,1095,0
L75797-556981,1095,0
L89654-674733,1095,0
L7039-830545,1095,0
L50744-391304,528,1
L22507-428583,1095,0
L42093-797281,576,1
L10293-95325,1095,0
L2748-517815,1095,0
L51129-890940,1095,0
L63591-552471,1095,0
L4914-237351,640,1
L60049-322961,1095,0
L51671-387858,1095,0
L79003-691120,1095,0
L77029-358788,1095,0
L70041-39220,1095,0
L44511-758293,1095,0
L90384-166378,1095,0
L28213-180202,1095,0
L14420-461837,1095,0
L98025-328426,1095,0
L39292-162236,703,1
L57664-115921,666,1
L97265-218247,613,1
L33479-734071,1095,0
L11440-309627,650,1
L81020-496544,1095,0
L28303-422997,1095,0
L23184-209442,1095,0
L78087-763269,1095,0
L54120-856732,1095,0
L26828-912698,667,1
L98223-473095,1095,0
L85945-52430,698,1
L49920-969672,1095,0
L31299-983024,1095,0
L92297-315512,1095,0
L94365-290668,1095,0
L10736-222681,1095,0
L7888-550981,648,1
L78374-50397,1095,0
L872-389366,1095,0
L99896-632917,1095,0
L81749-484017,1095,0
L92631-618648,1095,0
L61686-773489,1095,0
L91939-587041,1095,0
L33113-937900,1095,0
L35371-950828,1095,0
L98455-56048,1095,0
L98996-192044,1095,0
L1053-788377,1095,0
L45741-882589,718,1
L87122-958068,401,1
L79333-549784,1095,0
L38189-377359,488,1
L59635-890360,1095,0
L69787-903462,1095,0
L22432-953171,1095,0
L59562-803486,1095,0
L4885-770574,1095,0
L34928-962153,1095,0
L35702-163576,1095,0
L43206-853765,1095,0
L68748-47611,1095,0
L22705-858984,1095,0
L61988-635232,1095,0
L50972-844593,1095,0
L83250-76914,1095,0
L33013-464340,1095,0
L20001-646338,1095,0
L17123-957108,1095,0
L87572-266121,1095,0
L84207-334850,1095,0
L99461-247673,1095,0
L5850-405206,651,1
L98654-855735,1095,0
L40371-344427,1095,0
L55627-599565,669,1
L24052-312563,709,1
L59046-119859,1095,0
L31655-55385,1095,0
L98532-959647,1095,0
L83190-191216,1095,0
L21340-805149,622,1
L60714-501835,1095,0
L18541-324833,1095,0
L45848-919167,520,1
L70480-720574,1095,0
L32192-683125,1095,0
L19177-210997,1095,0
L16627-850885,647,1
L902-400212,1095,0
L29618-845983,1095,0
L58081-729433,1095,0
L9963-406534,1095,0
L94177-31561,1095,0
L15496-776001,1095,0
L52511-39803,1095,0
L10216-865188,1095,0
L17904-499675,1095,0
L72802-449116,1095,0
L91630-638592,1095,0
L96306-176256,1095,0
L88908-613954,1095,0
L78475-290504,1095,0
L99530-835003,1095,0
L83749-572287,1095,0
L15072-647538,116,1
L47554-783086,1095,0
L43294-924688,1095,0
L28695-303738,1095,0
L30779-463708,1095,0
L73665-893305,1095,0
L14680-801958,1095,0
L26979-790911,720,1
L14601-541611,1095,0
L36960-95845,1095,0
L53065-523097,1095,0
L78054-378526,1095,0
L86752-619035,651,1
L42040-113638,633,1
L88802-951239,1095,0
L17711-389991,669,1
L65977-531986,1095,0
L45994-650064,666,1
L80715-658658,1095,0
L62764-417820,1095,0
L44413-244725,1095,0
L82899-149759,1095,0
L33890-332500,610,1
L26757-416601,1095,0
L7655-112974,391,1
L76992-364029,1095,0
L30022-205200,1095,0
L88224-935182,1095,0
L35149-996714,1095,0
L12416-807463,1095,0
L49448-903202,1095,0
L95956-506258,1095,0
L20271-255175,1095,0
L39430-526013,1095,0
L61724-976919,1095,0
L46124-95881,1095,0
L80674-755446,1095,0
L42457-702672,1095,0
L7410-403823,720,1
L27450-560537,717,1
L20245-505969,1095,0
L46441-108103,1095,0
L76200-838791,1095,0
L42543-84859,1095,0
L18403-685231,1095,0
L612-819446,1095,0
L53998-926876,1095,0
L18831-53214,1095,0
L80053-300641,1095,0
L57609-863210,654,1
L1165-378977,1095,0
L4504-589512,1095,0
L57355-343625,1095,0
L38315-530971,494,1
L89724-177666,1095,0
L46533-89541,714,1
L59465-975155,1095,0
L82536-582211,1095,0
L96163-680361,1095,0
L9872-110406,1095,0
L51712-900387,1095,0
L86386-163819,1095,0
