merchant_id,merchant_name,merchant_category,merchant_city,merchant_state,is_international
M345-397770," Cole, Ruiz and Gross ",dining,Gilmorestad,AS,No 
M85139-229765,Hernandez-Johnson,dining,Kathymouth,PA,No
M75293-425256,Kim-Rich,grocery,South Joseph,NE,No
M93666-934933,Hodge-Carpenter,online_retail,Port Ralph,OH,Yes
M31060-970002,"Brown, Mcdowell and Turner",electronics,Morrisside,WY,No
M61194-950584,Curry-Miller,healthcare,Martinezton,PA,Yes
M61508-854749,"Miller, Wheeler and Williams",electronics,Alexanderland,OK,No
M50176-920265,Smith-Turner,clothing,Lake Meganstad,MI,No
M55554-229104,"Lopez, Wilkinson and King",entertainment,North Lisatown,WI,No
M75170-625920,Hopkins-Smith,utilities,Lake Jasminehaven,AS, No
M45106-713692," Goodwin, Green and Carroll ",grocery,Mccoyburgh,CA,No
M2658-437937,"Hardy, Brown and Foster",entertainment,North Lisachester,HI,No
M15544-357596,"King, Ramsey and Garcia",gas,South Jamesshire,AK,No
M27647-793009,Sanders-Glass,healthcare,East Barbara,IA,NO
M35309-169959,Smith Ltd,electronics,Whiteview,FL,No
M85997-566162,Larson Ltd,entertainment,North Mark,PW,No
M36694-791414,Elliott-Gillespie,entertainment,Liton,AZ,No
M48442-971436,Villegas and Sons,clothing,Elizabethville,AS,No
M37567-25351,Hines-Alexander,dining,Taylorshire,MS,No
M58511-10583,Hogan Group,travel,East Brianbury,WY,Yes
M50217-362713,Mccarthy and Sons,gas,East Kellyfurt,WV,No
M66851-924967,Hill-Lee,healthcare,Monicafort,AZ,Yes
M35871-169280,"Cooper, Thompson and Oliver",electronics,Sullivanberg,KS,No
M40541-137095,Flores LLC,clothing,Parkerton,VT,No
M67422-572919,"Anderson, Avila and Sanchez",healthcare,Justinton,CT,No
M68714-751448,Malone-Hall,gas,Jakeview,MO,YES
M67952-207583,Miller Ltd,grocery,Port Daniel,CO,No
M34164-191502,Novak-Gibson,gas,South Timothyborough,GU,No
M92241-121547,Black-Salas,grocery,West Christina,HI,No
M83514-831984," Hughes, Williams and Murray ",electronics,Port James,IN,No
M73824-484453,Lucero-Pope,clothing,Jamesmouth,TN,No
M62554-906187, Johnson-Harris ,clothing,West Kristina,WV,Yes
M31362-717327,Roman Inc,dining,Georgeborough,OH,No
M53180-226275,Rosales-Dixon,entertainment,Mosesville,NC,No
M86246-435646,"Patterson, Anderson and Hunter",,Annafort,WI,No
M70263-603945,"Miller, Anderson and Torres",dining,North Holly,TN,No
M73707-979656,Myers-Murray,entertainment,East Sandra,ME,Yes
M78848-688872,"Swanson, Wood and Gonzalez",electronics,Lake Brentstad,LA,No
M23286-740772, Jones-Hammond ,grocery,North Scott,OR,No
M71574-899784,Buck-Ramirez,Online_Retail,Taylormouth,OR,No
M92749-375750,"Carpenter, Lucero and Simon",entertainment,North Adamview,CO,No
M57385-165436,Miller Ltd,online_retail,East Timothyview,NJ,Yes
M56294-462824,Smith-Flores,online_retail,South Laura,WY,No
M2476-326362,"Scott, Nelson and Pruitt",travel,Roseland,VT,no
M87107-153363,Ward-Webb,healthcare,New Maxwell,NE,No
M96903-565681,Arnold Inc,electronics,Burgesshaven,WV,No
M37787-645307," Gordon, Bowen and Flowers ",grocery,East Julieport,LA,No
M32916-242678,Miller-Singleton,electronics,Vasquezport,ME,No
M26951-328017,Reilly-Clayton,utilities,Salazarside,FM,No
M24702-153379,"Colon, Dunn and Waller",healthcare,East Patricia,UT,No
M83362-306958,"Liu, Wright and Stewart",healthcare,Lake Derrick,NH,no
M9664-310785,Barry PLC,dining,Marialand,FL,No
M13615-33403,Williams-Ryan,grocery,Port Miguel,MH,No
M52704-949955,"Woodward, Kelly and Lee",dining,North Jerrytown,IA,No
M56956-651287,"Hernandez, Herrera and Wilkinson",utilities,Port Davidton,NY,Yes
M77692-729556,"Carr, Miranda and French",online_retail,Andrewburgh,FL,No
M59460-658300,"Gray, Trujillo and Farley",entertainment,North Adrienne,TX,No
M41870-103989,"Baird, Lee and Parsons",healthcare,Phillipland,WV,Yes
M99975-979040,Morrison-Rogers,grocery,Kimberlyton,MO,No
M51861-700067,White PLC,healthcare,East Michael,FM,No
M51727-446781,Martinez Group,entertainment,Wallaceview,PR,Yes
M90455-49218,"Rogers, Wall and King",entertainment,Patriciachester,MP,Yes
M18744-573305,"Holden, Caldwell and Patel",grocery,South Phyllishaven,AL,No
M63383-379238,"Shaw, Gonzales and Taylor",online_retail,Reynoldschester,NH,No
M71382-57224,"Schmidt, Nichols and Carney",grocery,Brewerberg,RI,Yes
M92999-364399,"Frank, Long and Bates",dining,West Scott,GA,No
M13835-523217,"Thornton, Edwards and Maldonado",travel,Derrickhaven,WV,No
M65218-223864,Arnold-Blevins,online_retail,Lake Jeremyfort,VI,No
M572-554180,Wilson-Robinson,entertainment,East Jennifer,AZ,No
M15575-490385,Jennings LLC,grocery,Jacobburgh,,No
M87239-460765,Bell-Fitzgerald,entertainment,Freemanside,IL,No
M67666-424532,Flores and Sons,Entertainment,West Kevin,SD,No
M72722-399109,Richards-Clayton,online_retail,Travisport,AK,No
M6143-775229,Waters Inc,online_retail,Port Laura,MN, No
M67629-921083,Thornton Ltd,utilities,New Tricia,AR,No
M49760-724109,Summers PLC,gas,West David,MI,No
M8617-399014,Hart PLC,grocery,Lake Charles,OH,No
M31035-142219,"Douglas, Flores and Brown",healthcare,North Caitlin,WV,No
M53010-778611,"Levy, Mcclure and Gibson",healthcare,West Christopher,TN,No
M90970-828943,Duncan-Blanchard,gas,North Adriana,MH,No
M9897-319680,Hood LLC,clothing ,Pattersontown,LA,No
M24681-120158,"Smith, Lowery and Rowe",grocery,,IL,No
M57485-309248,Jackson Ltd,grocery,South Jeanneberg,RI,No
M47694-227331,Shields-Randolph,gas,Petersstad,MO,No
M79144-775960,"Pena, Baldwin and Guerrero",grocery ,West Gabrielleshire,DC,No
M73222-464918,"Heath, Gomez and Powell",electronics,Williamschester,NV,No
M54315-669279,Baxter LLC,gas,New Brittneyton,NJ,No
M58533-66393,Vega PLC,healthcare,Markmouth,ND,No
M50375-767604,Ortega PLC,utilities,Browningmouth,PR,No
M31972-39786,Hood Inc,online_retail,Buchananburgh,NE,Yes
M62558-835250,Castaneda LLC,,Coleside,HI,No
M38403-165211,"Shelton, Barrera and Lucas",gas,West Brett,MS,No
M1642-798024,Conner-White,gas,Warrenstad,OK,No
M95479-991830,"Flores, Rodriguez and Carter",TRAVEL,Briggshaven,ID,Yes
M92956-785036,Clayton Group,dining,East Kiara,OH,No
M29515-528059,Tapia Group,healthcare,New Michaelborough,MD,Yes
M98045-928871,"Blankenship, Gray and Walls",gas,Gilbertchester,PA,Yes
M84245-873634,Boyer-White,entertainment,New Johnchester,AK,No
M29552-507009,Hogan Group,electronics,Carterview,ME,Yes
M11839-415939,Brown-Miller,utilities,East Zacharymouth,MA,No
M14716-243583,Landry PLC,utilities,Melissaport,VA,No
M69700-523345,Leonard-Jones,electronics,Juliehaven,SD,No
M23429-267122,Hart-Watts,travel,Chelseafort,MS,No
M61198-177943,Olson and Sons,,Lake Randall,OK,No
M91842-830866,"Lynch, Dunn and Ortiz",clothing,Maynardstad,RI,No
M15403-112106,Blanchard Group,dining,West Jamesfort,AS,No
M36665-131242,"Hess, Hunter and Golden",clothing,Williamschester,NJ,No
M27062-452804,Herring-Tucker,online_retail,North Tanyachester,WV,No
M29785-636956,"Watson, Lewis and Russell",entertainment,Scottville,PR, No
M77019-921005,Hunt PLC,gas,Port Erinside,FL,No
M19126-944145,"Thornton, Edwards and Maldonado",grocery,Lake Jeffrey,MH,Yes
M17974-200304,"Wilson, Hall and Perez",travel,New Shelby,AR,No
M35545-57840,Doyle Ltd,healthcare,North Lisaberg,VI,No
M23498-459761,Price Group,clothing,East Curtis,DC,No
M37180-67909,Mueller-Martin,travel,Adamport,NH,No
M7017-98064,Atkins-Lee,travel,North Scott,OH,No
M20620-12828,Morgan-Kirk,dining,Rhodesbury,MS,No
M2830-964147,"Morris, Henry and Johnson",clothing,Travisberg,NY,No
M98154-629775,"Garcia, Gonzalez and Stewart",utilities,New Erinmouth,KS,No
M41474-756833,Evans-Flores,travel,Hunterside,MI,No
M58663-981300,"Stewart, Anderson and King",clothing,Lake Donald,OH,No
M10798-152852,"Frederick, Green and Johnson",dining,Michelleside,DC,No
M75477-194816,Brown-Miller,healthcare,Royville,NY,No
M85794-954741,Chavez-Torres,utilities,Jeremybury,ID,No
M64285-964313,Wood-Trujillo,dining,Youngville,CO,No
M78249-398437,"Brown, Jarvis and Hunt",clothing,Maryfort,NH,No
M70123-487871,Norris-Merritt,online_retail,Nealberg,MO,Yes
M80448-665450,Carson-Lozano,online_retail,Heatherfurt,FM,No
M43601-847695,Thompson-Pace,electronics,Ashleyland,MT,No
M55346-117892,"Roberts, Johnson and Ward",travel,West Williamfurt,PR,no
M37318-997315,Martinez Ltd,grocery,West Chris,NH,Yes
M77098-513695,Walker Inc,gas,Willieland,LA,No
M28972-618124,"Davis, Novak and Henson",entertainment,Collinsview,UT,No
M47605-713135, Spears LLC ,clothing,Deborahchester,FL,No
M75286-61875,Mays Group,clothing,South Martinmouth,NV,No
M30872-831194, Davis-Sutton ,clothing,Farrellmouth,AZ,No
M35663-124622,Baker-Hoffman,utilities,Coxstad,AR,Yes
M40081-699499,Donovan-Scott,healthcare,West Kevin,NC,No
M56595-228595,"Parker, Hansen and Moore",clothing,Port Stephanie,MN,No
M9163-366081,"Taylor, Moore and Lopez",online_retail,North Thomasmouth,FM,No
M76637-949974,"Maddox, Mills and Wheeler",online_retail,North Randallchester,NE,No
M53909-897100,Alexander and Sons,travel,Elizabethshire,VI,No
M27724-682971,"Ellison, Carpenter and Jones",clothing,Port Tara,MS,No
M10205-653538,"Ellis, Hammond and West",healthcare,Ricardomouth,KY,Yes
M70941-111357,Coleman-Espinoza,utilities,West Stephanie,PW,no
M88699-608567,Hernandez-Harris,clothing,Brookemouth,AK,Yes
M86100-801336,Gaines LLC,online_retail,South Raymondmouth,OR,No
M98831-992491,"Green, Henderson and Cline",gas,West Robertview,AR,No
M50599-494636,"Lara, Vance and Grant",electronics,Sanchezport,NC,No
M60557-100141,Miller and Sons,clothing,East Jeremiahview,MO,Yes
M89096-423191,"Smith, Hawkins and Hernandez",travel,East Johnside,WI,No
M55044-911117,Mata-Malone,grocery,Harveyhaven,AR,No
M29704-127355,Simpson-Shepherd,travel,Johnville,MS,No
M39232-707001,Williams and Sons,grocery,New Brian,CO,No
M41465-895938,Pham-Reynolds,grocery,Lunaberg,CA, No
M15496-823513,Henry-Martin,dining,Gilmorestad,SC,No
M49419-995489,Vance-Franklin,dining,Smithland,ID,No
M52134-835174,Smith Group,healthcare,Williamland,KS,No
M3540-494940, Martinez-Matthews ,electronics,Nolanchester,OR,No
M33408-521580,Wright-Swanson,HEALTHCARE,Cohenchester,FM,No
M45587-317192,Davis and Sons,healthcare,Barronbury,KS,No
M47201-121205,Reed-Smith,grocery,Frankberg,VI,No
M82410-692731,Carpenter Inc,electronics,Anachester,PR,Yes
M97490-101622,"Ayala, Davis and Martinez",healthcare,Port Matthew,DC,No
M49815-440348,Jefferson-Oconnell,dining,Lake Brandon,MP,No
M20415-17225,Black-Clark,entertainment,Medinamouth,FM,No
M57752-11279,Young-Brown,healthcare,East Jennifer,MN,No
M39555-902186,Arroyo Ltd,online_retail,Richardland,KS,No
M8901-914645,"Dean, Gutierrez and Campbell",grocery,South Dorothystad,MP,No
M9261-868338,Williams-Day,dining,West Jonathanchester,HI,No
M70596-690490,Arellano-Adams,healthcare,Harrisonfurt,DC,No
M8324-900736,Miller-Chase,dining,Hickmanton,IL,No
M28678-552542,Walker-Gonzalez,grocery,Alexisport,VT,No
M76017-993827,Taylor-Reyes,electronics,South Lucas,CO,No
M68510-140027,Everett Group,gas,Kirbystad,ID,No
M64391-524286,"Diaz, Barber and Vaughan",dining,South Brian,PA,No
M80320-39426,"Mora, Bradley and Barnett",electronics,Alexandriaside,PA,No 
M92011-636432,Banks LLC,entertainment,Lake Melissa,NC,No
M74274-286950,Miller and Sons,travel,Lake Elijahfurt,IA,No 
M60379-431608,"Franco, Olson and Long",electronics,Youngfurt,KS,Yes
M67297-264261,"Lopez, Green and Jones",travel,Harveyhaven,SD,No
M92118-31421,Brown-Frost,online_retail,East Vicki,KY,No
M11212-40554,"Bennett, Parker and Fleming",grocery,Lake Kevin,NY,Yes
M87140-587447,"Walker, Thompson and Caldwell",travel,Johnsonshire,GU,No
M8835-894270,Griffin-Johnson,travel,Christineshire,WI,Yes
M30389-412944,Vasquez LLC,utilities,Moorehaven,GA,No
M69169-492980,Stark-Steele,clothing,Marymouth,CA,No
M65189-672367,Davidson Ltd,dining,New Erik,,No
M27990-832790,"Sanders, Combs and Schwartz",entertainment,Lake Haley,OR,No
M11490-44166,Hill Group,grocery,Lisachester,VT,Yes 
M28353-429449,Gordon Group,online_retail,Heatherfurt,NH,No
M85320-283595,Williams LLC,entertainment,Amandashire,DE,No
M37300-292991,Mendez Ltd,clothing,Hillfort,IN,No
M99690-698718,"Stanton, Grimes and Fitzgerald",dining,Jacksonburgh,HI,No
M31496-974953,"Hill, Harper and Smith",dining,East Carriemouth,MP,No
M91139-530296,"Mcgrath, Larsen and Friedman",grocery,Kristinville,GU,No
M9138-701315,Anderson Inc,clothing,Whiteborough,AS,No
M45056-581214,"Keith, Hudson and Lawson",dining,Port Wesley,SC,No
M57196-53618,Obrien-Phillips,entertainment,Markton,GA,No
M82318-222670,Martinez-Jones,travel,Richardbury,TX,No
M76309-565309,"Hardin, Gallegos and Vazquez",travel,Alexshire,NV,no
M88853-779226,Mitchell-Martin,healthcare,Port Charles,KS,No
M11438-633368,Allen-Webster,clothing,New Angela,NC,No
M20086-204469,Norris-Tucker,travel,Port Josephberg,AS,No
M45975-540633,Elliott Ltd,utilities,Carolhaven,PR,No
M98841-337259,Glass and Sons,gas,Nortonfort,GU,No
M96153-955240,"Jones, Miller and Knapp",clothing,Nelsonfort,PR,No
M15391-550528," Neal, Allen and Perkins ",online_retail,Lambchester,SC,No
M69543-83430,Burns-Flores,travel,Jessicahaven,NV,No
M88970-69971,"Doyle, Raymond and Pierce",gas,Kimberlychester,AK,No
M12127-857217,Matthews PLC,dining,West Louiston,OR,No
M17476-261582,Rodriguez Ltd,clothing,Christophermouth,MD,No
M62481-77969,"Wright, Johnson and Garcia",Entertainment,Robinborough,AK,No
M98493-417338,Davis-Nelson,travel,Lake Emilyborough,SC,No
M48341-664394,Barnes-Ewing,healthcare,West Raymondborough,TX,No
M20796-63097,Cannon-Lawrence,entertainment,North Jeanne,VI,Yes
M27086-618207,Lee-Arellano,travel,East Cindytown,OR,No
M65120-471881,Nelson PLC,Electronics,North Joanne,MN,No
M24904-706316, Rogers-Hernandez ,clothing,Richardtown,MA,No
M3599-325464,"Bailey, Vargas and Robinson",online_retail,Lake Melissa,MI,No
M36386-983176,"Henderson, Collins and Allen",utilities,Fosterfort,PW,No
M47796-41604, Thompson PLC ,electronics,Haneyberg,SD,Yes
M85970-931554,Rodriguez-Weber, travel,Nicoleberg,TN,No
M95010-913894,"Wells, Moss and Rodriguez",entertainment,Brandonfort,WV,No
M99455-959798,Bradford LLC,dining,Richardshaven,PA,No
M77264-147270,"Wilson, Farmer and Martinez", online_retail,Martinezburgh,AL,No
M84340-975375,Paul-Tucker,electronics,Alexanderview,OK,No
M59135-619501,"Figueroa, Boyd and Young",grocery,North Jeanne,MD,No
M3381-633854,"Bennett, Rodgers and Williams",utilities,Thompsonville,KY,No
M25900-787537,"Padilla, Johnson and Johns",entertainment,South Jacqueline,AZ,No
M1328-853739,Tran Inc,clothing,West Jeffreyborough,MT, No
M37012-680195,"Ramirez, Mitchell and Mcdonald",clothing,South Julie,MO,No
M86502-861671, Gaines-Brown ,gas,Carpenterberg,WI,No
M7508-547512,"White, Jones and Frazier",gas,Kirkborough,NY,No
M65953-33857,Evans-Miller,clothing,Donaldton,MA,No
M68811-198413,"Benjamin, Guerra and Gross",grocery,Perezview,ME,No
M82794-537763,"Jackson, Whitaker and Garcia",utilities,New Charles,ME,No
M38221-356581,Brown-Wilson,healthcare,Greenborough,MA,No
M3852-115256,Garcia-Rogers,travel,Mcdonaldburgh,RI,No
M99846-990574,"Jackson, Marshall and Williams",entertainment,South Hunterside,NY,No
M81190-47071,,entertainment,Port Jody,OK,No
M57267-502471,Elliott and Sons,electronics,South Stephanie,ID,No
M2791-689979,Hampton-Barnett,healthcare,North Robertfurt,MH,Yes
M55926-564579,Pruitt LLC,healthcare,Ariasberg,AR,No
M86539-136996,Hull-Mendoza,electronics,Lake Joseph,MA,No
M32869-987945,Wilson-Riddle,utilities,West Maria,KY,No
M71168-334965,"Zhang, Smith and Small",clothing,Kennethfurt,VA,No
M10195-147428,"Garza, Rivera and Charles",travel,Bradfordstad,AK,Yes
M50696-556393,"Martinez, Lopez and Diaz",travel ,Port Josephchester,VT,No
M28654-588622,Parker Group,entertainment,Lake Zacharychester,KS,No
M39203-72645,"Rose, Kidd and George",utilities,Reesebury,MI,No
M76275-322458,"Medina, Jimenez and Howard",utilities,Turnerstad,NM,No
M85491-225990,Smith Inc,grocery,Port Joshuachester,LA,No
M59430-583220,Morgan Inc,grocery,Port Norma,ID,Yes
M7440-559475,Daniels-Santos,entertainment,New Christineberg,TN,Yes
M72180-563472,Larsen-Shannon,entertainment,Lake Benjaminton,IL,No
M73228-551292,Humphrey PLC,travel ,Lake Susanmouth,MP,Yes
M55029-367399,Nguyen-Thompson,grocery,South Joshua,IN,No
M73467-842453,"Robbins, Barnes and Church",clothing,Scottton,SC,No
M55419-864508,Powell-Lee,grocery,Hicksside,MO,No
M99284-967944,Nelson-Reese,travel,South Tammyfort,VA,No
M55022-753853,"Hill, Brown and Hudson",online_retail,Stephanieberg,PR,No
M66890-261881,Bradley-Hill,travel,Lake Lisafurt,UT,No
M7624-94320,Powell-Escobar,healthcare,North Christopher,PW,No
M9648-987108,"Phelps, Fuller and Clay",grocery,East Julieborough,OH,No
M20566-146283,"Baker, Perez and Owens",grocery,Williamstad,DE,No
M22664-739888,"Stanley, Humphrey and Cardenas",healthcare,Port Emilyport,MP,No
M62487-741922,Singleton-Cruz,dining,Stephenbury,KS,No
M66056-406021,"Rodriguez, Harris and Benson",clothing,Dunnfurt,CA,No
M66853-113252,"Reese, Martinez and Smith",healthcare,Stacieberg,NJ,No
M50710-958394,Harper Inc,healthcare,Port Amanda,DC,No
M80982-192507,"Smith, Durham and Hansen",healthcare,New Joditon,MA,No
M86652-719416,Wallace Inc,online_retail,North Jeanettechester,CT,No
M63796-767239,Lang-Nelson,electronics,Mendozatown,AK,No
M77583-331569,"Mays, Drake and Bryant",entertainment,South Williamport,IA,Yes
M56943-374834,"Nguyen, Singleton and Rodriguez",,New James,TN,No
M55566-270048,Moon Group,dining,Ashleychester,VT,No
M61104-458958,Velasquez Group,gas,South Jamesville,VA,No
M93690-824680,Williams-Jones,grocery,Lake Shawn,ME,No
M73627-130411, Perez-Kane ,gas,Elizabethfurt,NM,No
M45347-754528,Cook Group,clothing,Joshuachester,AL,No
M61785-126108,Mullins-Kennedy,clothing,Aprilton,RI,No
M25920-378387,Thomas-Browning,gas,East Kellyfurt,RI,No
M35617-792218,"Cooper, Fritz and Elliott",travel,New Jill,VA,No
M9939-953503,Kennedy LLC,electronics,Livingstontown,NJ,No
M17380-706726,Henderson LLC,healthcare,Bakermouth,NE, No
M36708-338093,Davis-Collins,healthcare,Fishermouth,WI,Yes
M40821-658034,"Montes, Knox and Hernandez",online_retail,Deborahchester,MA,No
M37749-731394,"Sanchez, Perry and Galvan",entertainment,Lake Diana,UT,NO
M1245-763242,"Carter, Mitchell and Willis",dining,South Jessica,AZ,Yes
M34877-670678,Acosta-Kemp,utilities,Huntview,NM,No
M22005-287649,"Gardner, Wise and Weaver",online_retail,South Matthew,PA,No
M34515-750061,Bartlett PLC,online_retail,New Doris,VT,No 
M60050-755173,Thomas-Brown,online_retail,Josephport,GA,No
M77411-425510,"Fisher, Johnson and King",healthcare,Samanthafort,VA,No
M11223-582057,Hess PLC,clothing,Elizabethtown,AK,No
M81527-309604,Vega-Jones,healthcare,West Matthewshire,MA,No
M42707-440153,"Brown, Thomas and Walton",grocery,West Crystaltown,NV,No
M43699-332691,"Campbell, Warren and Mills",dining,West Adriana,MD,Yes
M34956-138989,Young PLC,healthcare,West Abigail,AR,No
M18543-687790,Orr and Sons,travel,Hardyshire,VA,Yes
M24445-758519,Mercado-Lopez,grocery,West Williamfurt,ND,Yes
M28021-366262,Reese Inc,utilities,Port Robert,SD,No
M2332-689426,Wyatt Group,utilities,South Rebecca,OK,No
M51889-792245,"Velazquez, Ortiz and Davis",dining,Lake Jill,MI,No
M54092-409128,"Garrett, Duncan and Ferguson",grocery,Destinyport,MS,no
M47794-402228,"Barrett, Carr and Wilson",entertainment,Port Kathrynhaven,GA,No
M22830-762547,Dennis-Smith,healthcare,Zimmermanberg,MP,No
M32341-633114,Short Ltd,healthcare,Washingtonside,,No
M23529-569877,Baker-Mendoza,clothing,Mccormickstad,KS,No
M23824-53526,Serrano Ltd,entertainment,Smithland,TX,No
M29517-751475,"Gallagher, Nixon and Robertson",gas,Courtneyshire,WY,No
M20120-584321,Burton-Leonard,gas,Emilyton,GA,Yes
M44020-939060,Johnson-Brown,dining,Christinamouth,NH,No
M43293-510951,"Irwin, Gutierrez and Johnson",online_retail,Lake Christina,FL,No
M89519-248622,"Warren, Marks and Medina",online_retail,West Justinfort,MP,Yes
M74930-516869,"Rodriguez, Dixon and Manning",utilities,Lake Reginashire,DC,Yes
M23305-124965,Harmon LLC,healthcare,Marissamouth,GA,No
M96973-713707,"Moore, Larsen and Anderson",utilities,West Reneefort,NM,No
M90464-902698,"Blankenship, Perry and Gutierrez",healthcare,Jessicaberg,SD,No
M53606-511473,Diaz and Sons,grocery,Carrbury,MT,Yes
M80118-683344,Francis LLC,healthcare,Genehaven,PA,No
M50701-539569,Drake LLC,electronics,Jenniferstad,PR,No
M2842-784667,"Peterson, Todd and Reed",gas,,UT,No
M56595-193371,Steele Group,travel,Scottport,WI,Yes
M21225-282508,Wilson LLC,utilities,Smithbury,GA,No
M46370-687159,Martinez-Harris,healthcare,Lisaport,IA,no
M79292-984833,Burch Group,electronics,Johnsonview,UT,No
M50817-256645,Norris PLC,online_retail,Colemanbury,WA,No
M20043-685608,Johnson-Figueroa,clothing,New Jeffrey,NE,Yes
M10505-372773,Wallace-Pittman,gas,Elizabethmouth,GA,No
M42705-524019,"Ayala, Salinas and West",utilities,Andersonside,DC,No
M85017-917013,"Trevino, Ramirez and Campbell",gas,South Crystalton,AZ,No
M62030-362610,"Davis, Logan and Barker",entertainment,New Reginaburgh,WI,No
M10990-218816,Sherman-Hughes,GAS,South Katherinetown,HI,No
M9561-477272," Mclaughlin, Haynes and Fox ",utilities,Wilsonborough,CA,No
M11566-47643, Fields-Marshall ,Online_Retail,Robertview,RI,no
M507-238467,Fry Group,electronics,Maddoxside,WY,no
M64775-978317,"Maldonado, Mcintosh and Cruz",gas,Latoyaland,ME,no
M54886-574966,Morris-Roberts,dining,Justinborough,WI,No
M92892-189912,"Morris, Lynch and Brown",electronics,Alexanderview,NJ,No
M99365-333250,"Silva, Graves and Jones",gas,North Tammyport,KS,No
M81777-562128,Griffin-Morris,entertainment,Vasquezhaven,MS,No
M86865-299840,Terry-Black,clothing,Port Veronicastad,HI,No
M92263-363205,Jenkins LLC,online_retail,Brianstad,MD,No
M29165-651586,Vargas Inc,electronics,North Aprilbury,NH,No
M25786-963844,Webb-Ritter,utilities ,Diazhaven,WV,Yes
M85464-655790,"Johnson, Marshall and Watts",grocery,South Shawn,IA,Yes
M31400-805506,"George, Hansen and Barton",travel,West Paulamouth,AZ,No
M81695-913658,Rodriguez-Adams,entertainment,,WA,No
M36115-454417,Jackson Group,utilities,Heidiburgh,IN,No
M99636-747267,Chen Inc,travel,West Nancymouth,FL,No
M85968-976123,Stevens and Sons,travel,Lake Hollystad,OH,No
M86376-467671, Landry Ltd ,electronics,Lake Zacharychester,GA,No
M14778-188465,"Rodgers, Nelson and Scott",electronics,Natalietown,GU,No
M53336-956115,"Turner, Powers and Pena",clothing,Eugeneport,VA,No
